Character,Dialogue
Barret,"Get down here, merc."
Barret,You're up.
Cloud,Don't think so.
Cloud,Go ahead.
Cloud,Enough of this.
Cloud,Can't get surrounded.
Cloud,"This is a onetime gig. When it's done, we're done."
Cloud,Not interested.
Barret,Wedge!
Barret,"You'd better be worth the money, merc. Every last gil."
Cloud,Guess you're first.
Cloud,Looks like you're next.
Barret,You know what to do—now go!
Barret,Pick up the pace!
Barret,"SOLDIERs may attack on command, but I hear they make good guard dogs too. Bet you've seen a few reactors. So how do we get to the bridge above mako storage?"
Barret,"Ain't holding out on me, are you? Stamp scared to bite the hand that fed him? Or is he a loyal little doggie!?"
Barret,"Have it your way, mutt. We can do this with you, or we can do this without you."
Cloud,"Different reactor, different layout. Depends when it was built. Never seen one like this, but I'll manage."
Barret,I'm watching you.
Barret,W-wait!
Cloud,That's my line.
Cloud,Then let's move.
Barret,Cut it out!
Barret,"Simmer down, hotshot."
Barret,"Security's only gonna get tighter, so be ready. We can't afford any mistakes."
Tifa,Cloud! Are you ignoring me!?
Cloud,Tifa and I...
Barret,"This pump's sole purpose is to drain the planet dry. While you sleep, while you eat, while you shit—it's here, sucking up mako. It doesn't rest and it doesn't care! You do realize what mako is, don't you?"
Barret,"Mako is the lifeblood of our world. The planet bleeds green like you and me bleed red. The hell you think's gonna happen when it's all gone, huh!? Answer me!"
Barret,You gonna stand there and pretend you can't hear the planet crying out in pain? I know you can!
Cloud,You really hear that?
Barret,Damn straight I do!
Cloud,Get help.
Barret,Say that again!
Cloud,I'd worry less about the planet and more about the next five seconds. Save the screaming for later.
Barret,"Our lives are on the line now. You listening, merc? One false move... And that happens!"
Cloud,Should've asked for more money.
Barret,Gonna throw your sword at 'em? Let the man with the gun go to work! These tin cans ain't got nothing on me!
Barret,Now for the real show!
Barret,"Do your job, merc!"
Cloud,Shut up and move over.
Cloud,Don't forget to aim.
Barret,Oh yeah? How about I aim for your head!?
Cloud,A laser security system... Great.
Cloud,Yeah. Figure out the timing of the lasers. Then make a move when they cycle off.
Cloud,Hey!
Cloud,Not if you wipe the floor with them first.
Barret,Hah! We can take this hunk of junk!
Cloud,"That ""hunk of junk"" is a heavy weapons platform. If we rush in...we die."
Barret,Is that right?
Cloud,Need to hit it with magic. That should give us an opening.
Barret,Hey! It stopped moving!
Cloud,Let's pin it down! Give it all you've got!
Barret,"Of course, it just had to get back up."
Cloud,So we knock it down again. No time to complain.
Cloud,Now's our chance! Go!
Barret,Don't need to tell me twice! I'm gonna enjoy this!
Barret,"What are you, twenty-something?"
Cloud,First.
Barret,Huh?
Cloud,SOLDIER First Class. Doesn't go into the twenties.
Barret,"The hell you talking about? I mean your age, not your goddamn rank!"
Cloud,"I, uh..."
Barret,"Though, for all I know, a SOLDIER's rank could be the same as his age... Mm-hmm. Guess that'd make you a one-year-old, huh? Live and learn!"
Barret,Goddamn... I can practically taste the mako in here... Hurry it up!
Barret,My heart's pounding like a jackhammer!
Cloud,"Scared, huh?"
Barret,Hah! More like excited. I've been dreaming about this for years!
Barret,"You think, if we fell in, we'd sink right down to the bottom? To the planet's core?"
Cloud,"No, the pump would suck us back up."
Barret,How comforting.
Barret,"Yeah, let's do this... Let's do this!"
Barret,All right. Let's see if little Stamp really can bite the hand that feeds...
Barret,Go on. Do the honors. Prove to me you're the man Tifa says you are. That you're one of us.
Cloud,Never said I was. I'm just here for the paycheck.
Barret,Then do the damn job!
Barret,What's wrong?
Cloud,I'm fine. What about the timer?
Barret,"Your call, merc."
Barret,"Pretty cocky, ain'tcha?"
Barret,Hah! That long enough for you?
Barret,You double-crossing—
Cloud,Heads up!
Barret,What in the hell!?
Barret,Hey! How the hell do we fight this thing?
Cloud,It's got reinforced armor plating—but the internals can be overloaded. Lightning magic.
Barret,"No other option, huh."
Cloud,Can't see an opening... Impressive...
Barret,"Damn, this thing is tough!"
Cloud,Wouldn't be much of a weapon if it went down easy.
Barret,Don't compliment the giant scorpion!
Cloud,Gotta heal up.
Barret,Sure could use a break...
Cloud,Damnit. Need to heal up soon...
Cloud,Gotta memorize the attack patterns...
Cloud,Gotta time our attacks just right! Hold out until you spot an opening!
Barret,Hell yeah! You see the damage that did!?
Cloud,Keep it up!
Barret,We barely scratched the damn thing!
Cloud,Didn't I tell you to use magic!?
Barret,Thought you were full of shit.
Cloud,Think whatever you want—just do it!
Barret,Damn pain in the ass...
Barret,Got anything you wanna say?
Barret,Funny way to ask for help.
Barret,Shit. Was just about to get you out.
Cloud,Wasn't expecting you to do jack...
Barret,Pretty quick for a heap of scrap!
Barret,The hell is that!?
Cloud,A barrier? Never seen this defense system before...
Barret,Thought you were the expert!
Cloud,"So what's your brilliant plan, genius?"
Cloud,There! Attack it from the rear!
Barret,"Aight, SOLDIER boy! Show me what you got!"
Cloud,Bingo. Focus on that core!
Barret,"Oh, now he remembers. Don't keep me waiting in suspense next time!"
Barret,Huh!? It didn't work!?
Barret,Dammit! Gotta do something about that barrier first!
Barret,"Damn, this thing is tough!"
Cloud,Wouldn't be much of a weapon if it went down easy.
Barret,Don't compliment the giant scorpion!
Barret,(chuckles) It's my time to shine!
Cloud,Or go down in flames...
Cloud,Another barrier!?
Barret,Enough with the barriers!
Cloud,Watch the tail! You don't want to get hit by that laser!
Barret,"Huh!? So, whadda we do!?"
Cloud,Don't get hit! Take cover behind that debris.
Cloud,Now! Go!
Barret,Now! Get in there and do some damage!
Barret,It's wide open! Gonna light it up!
Cloud,Heads up—tail laser!
Barret,I see it!
Cloud,Then take cover already!
Cloud,Incoming—take cover!
Barret,There really no other option?
Cloud,Wanna get shot? Be my guest!
Barret,"Hey, it's doing that thing again!"
Cloud,Find cover and hunker down!
Barret,Again and again and again!
Cloud,Now! Go!
Barret,"Aw, hell, what's it doing now!?"
Cloud,An auto-repair unit? Dammit—we gotta take it out quick or we're screwed!
Barret,"Oh, I am way ahead of you, merc!"
Barret,"When I get my chance, I'm gonna blow this bastard the hell up! And that's a promise!"
Cloud,Gotta time our attacks just right! Hold out until you spot an opening!
Cloud,It's down! Rain hell on it!
Barret,Ain't gotta tell me twice!
Cloud,There goes another! Now's our chance to do some real damage!
Barret,Shit! The bomb!
Barret,"Hah, you hear that? Damn thing showed you how it's done!"
Cloud,"Come on, we've gotta move."
Barret,"Wedge should be covering our way out! Go, go, go!"
Cloud,You okay?
Barret,Hey! We'll link up over there! Look after Jessie!
Cloud,Shut up and climb. You're not helping.
Cloud,Have it your way.
Barret,I've got you covered. Find us a way outta here!
Barret,"Don't worry, I'll be fine. I've got SOLDIER boy with me!"
Cloud,Ex-SOLDIER boy.
Barret,We don't have time for this shit! The clock's ticking!
Cloud,Cool it. Five seconds is all we need.
Barret,You don't look so good. Take care of those wounds before you bleed out.
Barret,Let's go! The others are waiting! Gotta get the hell outta here ASAP...
Barret,Ugh! This is all we need!
Cloud,You got that right.
Barret,Heads up! We got a whole lotta company!
Cloud,No shit.
Barret,Whoa! Ain't you a feisty one!
Cloud,Like a rook seeing his first action...
Barret,"Come on...come on, come on, come on!"
Barret,Bada-bing bada-boom—bam!
Cloud,Can you walk?
Cloud,I'll take that as a yes.
Barret,Looks like we made it. And with nothing but a few scratches to show—
Barret,Think you might've overdone it?
Barret,"Well, let's hope this city's still in one piece."
Barret,"All right, then. Lead the way."
Barret,We need to get out of this place.
Barret,You can refuel at the base.
Barret,"Can't wait to see you, Marlene."
Cloud,What's done is done.
Barret,"Merc's right. It ain't pretty, but we can't stop now. This was just the first reactor. And the planet won't be safe till we get the rest."
Barret,"Y'all gotta look at the bigger picture here. Nothing worth fighting for was ever won without sacrifice. Though you may not be crying out, I know you're in pain—just like the planet. But it's okay, 'cause I'm here for you! To help take the load off your shoulders!"
Barret,"Your fears... Your worries... Your concerns... And yes, your fees... Whatever your problem, I got you."
Barret,That's easy enough! We get our asses home!
Barret,We'll split up and shoot for the last train home. Regroup in the freight car. Got it?
Cloud,Hey. I'd like my money now.
Barret,You can have it—once we're back at base.
Cloud,Of course not. It's healing materia.
Cloud,Just doing my job. Nothing more.
Cloud,Survival can be a matter of luck or skill. And you can't rely on luck.
Cloud,"Yeah, well...thanks."
Cloud,"You do know what I was, right?"
Cloud,Station's intact.
Cloud,What the...?
Cloud,How...!?
Cloud,He couldn't be... But then...
Cloud,The hell...?
Cloud,Wait...
Cloud,You're not real... You're... ...dead!
Sephiroth,I am?
Cloud,I killed you with my own—
Sephiroth,"Oh, you need not remind me. It was the crowning moment of our time together. But that was then, and this is now. I have a favor to ask."
Sephiroth,Our beloved planet is dying. Slowly. Silently. Painfully. Can you bear to see the planet suffer... Cloud?
Cloud,Mom... Mom...
Sephiroth,"Were the planet to die, so many things would be lost. Your hometown that burns so bright... The sound of her voice pleading for me to spare you. The shiver of her flesh yielding to cold steel."
Sephiroth,That which binds us together would be no more. And I would be loath to live in such a world. Which is why I must ask you this one favor. Don't worry. It's a simple thing.
Sephiroth,"Run, Cloud... Run away. You have to leave... You have to live."
Cloud,You bastard!
Cloud,"I'm seeing things. Fumes from all the mako, maybe. All right. You got this."
Cloud,Man... What a mess.
Cloud,Security's everywhere...
Cloud,No need to make it harder for yourself.
Sephiroth,You are too weak to save anyone. Not even yourself.
Cloud,I'm fine.
Cloud,A flower?
Cloud,What things?
Cloud,Just my luck...
Cloud,How much?
Cloud,I'm good.
Cloud,How much?
Cloud,Enough already. I'll give you two gil for it.
Cloud,"Five then.Flower PeddlerPlease, that's not nearly enough. Besides, I clearly said it was on the—"
Cloud,"Look, I'm involved in things. Dangerous things."
Cloud,So keep your distance.
Cloud,"Hey, a mako reactor just blew. You shouldn't be out here trying to sell fl—"
Cloud,Are you blind...?
Cloud,Wha—Wait!
Cloud,Don't wanna stick around here.
Cloud,Gonna have to find a way around.
Cloud,So much for the direct route.
Cloud,"So much for the direct route. Find another way... Use the rooftops, maybe..."
Cloud,...But the rooftops look clear.
Cloud,Close call.
Cloud,It's all or nothing now...
Barret,On my go.
Barret,"Ugh, you had me worried for a minute..."
Barret,What the hell you been up to? Huh!?
Cloud,"Giving Public Security the runaround, that's what. Had to draw them away from the station somehow."
Cloud,Wait. Got a question for you all.
Barret,What?
Cloud,Ever been attacked by an invisible enemy?
Cloud,Wearing robes. Came and went like the wind.
Cloud,They were—at first. Only saw them after she grabbed me...
Barret,Hah! More like a panic-induced hallucination!
Cloud,Never mind. Forget I said anything.
Barret,"Suit yourself. C'mon, let's move up."
Barret,Lucky us. We've got a crowd to hide in. Head for the front of the train and hold there.
Cloud,Of course they are.
Cloud,"If you're about to ""unburden"" yourself—don't."
Cloud,I'm a SOLDIER.
Cloud,You get used to it.
Cloud,The explosion triggered a reaction with the mako. You said so yourself.
Cloud,Right.
Barret,Hey! Quit talking out your ass. Everyone knows Avalanche only cares about saving the planet.
Barret,A law-abiding concerned citizen.
Barret,"In my humble opinion, that explosion was a message—a message to the bastards bleeding our planet dry. Think they got it? Heard it loud and clear? Y'all's masters?"
Barret,Hmph. Them's fighting words.
Barret, Quit acting like a damn kid. I ain't in the mood.
Cloud,How many times do I have to tell you people. I'm not—
Barret,"Take a good look. It's because of that great big pizza in the sky that people down there gotta struggle to survive. Shinra sucks up mako while the soil turns to dust, the air fills with smog, and the flowers die."
Cloud,Then leave and don't look back. That's what's always worked for me.
Barret,"Hmph! Well, that's all well and good if you're only out for yourself. But the folks down there don't have the luxury of choice, you know?"
Cloud,"Like this train, I suppose... There's only one way it can go..."
Barret,"Hot damn, we are good!"
Barret,"Guys! Lower your voices, huh? People are listening."
Barret,"Now get some R&R. You've earned it. Just be ready for the next mission, alright?"
Barret,"See you soon. At Seventh Heaven? You know, where Tifa works? Don't keep her waiting. She'll worry."
Barret,"Not long now, honey! (laughs) Daddy's almost home!"
Cloud,You again...
Tifa,Marlene!
Barret,"That's right angel, I am! (laughs)"
Tifa,Welcome back!
Barret,Have you been a good girl?
Barret,"Oh you did, did you? Well, well...(laughs)"
Tifa,You made it.
Tifa,Where'd you get that? I can't remember the last time I saw a real one.
Tifa,How sweet. When did you get so thoughtful?
Cloud,A guy can change. Has been five years.
Tifa,Huh?
Cloud,I need to talk to Barret.
Tifa,Right. Come on in.
Barret,"Don't you worry about all that silliness. Daddy's here, and he's not going anywhere tonight. Now turn that thing off and let's get you to bed, huh?"
Tifa,Do you mind keeping Marlene company until I'm done with this?
Cloud,Me?
Tifa,"Yeah, you."
Barret,"Yeah, yeah, your money. Ask Tifa. She takes care of all that."
Barret,Hey! The hell you think you're doing scaring my daughter like that!?
Barret,"That's right, honey, I do say that. What a good girl you are, remembering Daddy's lessons. You know what else good girls do? They go to bed on time. C'mon."
Barret,Mmm...Alright—but just this once!
Tifa,"So, then! What can I get you?"
Cloud,My money. I'm still waiting on it.
Tifa,Ah... Right... About that... We should talk. Outside.
Barret,Of course.
Barret,Let that be a lesson to you.
Barret,"When you wanna talk to a little kid, don't go giving her the professional-killer eyes."
Tifa,"Before we get onto money... There's an empty apartment in a place just down the road. It's nothing fancy, but... I was thinking you could stay there for now. The landlady's a big friend of the cause, so you wouldn't even have to pay rent! Sound good?"
Cloud,Sure does. Thanks.
Tifa,Follow me then!
Tifa,How was it up on the plate?
Cloud,It was...chaotic.
Tifa,Sorry for dragging you into all this. It was wrong of me to put you in danger like that. I promise I won't do it again.
Cloud,Danger's part of the job. Don't worry about me.
Tifa,I'll try not to.
Cloud,Always happy to help stick it to Shinra.
Tifa,"So, you make nice with everyone?"
Cloud,"Much as I could, all things considered. Maybe not enough for them."
Tifa,Good. You had me worried. You're not exactly a people person.
Cloud,I'll give you that.
Tifa,I saw Sector 8 on the news... It was like a war zone...
Cloud,The news is just another Shinra mouthpiece. They'll spread whatever lies Shinra tells 'em to.
Tifa,So...it wasn't that bad?
Cloud,...It was.
Tifa,Oh. Right.
Tifa,And here we are. Good ol' Stargazer Heights. You're on the second floor.
Tifa,"Room 201 here is where I sleep. Don't have time for much else, what with Seventh Heaven and all. Not even time to decorate."
Tifa,"Here's your room—202. Don't worry, I already told the landlady about you."
Cloud,You did?
Tifa,"Yes? Ohhh, I mean I told her I had a friend looking for a place to stay. Was that too much?"
Cloud,No. It's fine. And this?
Tifa,"That one's, uh... Know what, it's getting late. I'll introduce you tomorrow."
Cloud,Wait a minute. That's Tifa's room. Don't be weird.
Cloud,What are you doing? You've never even meet this person.
Tifa,"It's a little bare, but should be enough to get you through the night. If you want anything else, we can always get it—"
Cloud,"There is one thing. My money. You guys owe me two thousand, remember?"
Tifa,"I do, and we'd love to settle up, especially since this was your first job for us, but..."
Cloud,That's it?
Tifa,"Sorry. We spent the rest preparing for the mission. That really is it. But not for long! I'm collecting money for filters tomorrow, so I can pay you after."
Cloud,(sighs) And you're sure about that?
Tifa,"Of course...as long as you help, that is. Wait... Then I'd have to pay you for that too. Never mind."
Cloud,"No, two thousand's enough. That's what we agreed on, so that'll be the price. With what you gave me, that leaves fifteen hundred."
Tifa,"You're the best! I'll see you bright and early at the bar, then. Thanks again for everything. Sleep tight!"
Cloud,Guess it's time for introductions.
Cloud,"What, you gonna wake her up?"
Cloud,Hey. You okay in there?
Cloud,Coming in.
Tifa,Cloud! Stop!
Cloud,Get back inside!
Cloud,Get off me!
Tifa,"What are you doing to Marco? This is his apartment. He's got a few problems, but he's not a bad guy. The landlady asked me to check on him now and then to make sure he's okay. Can I ask you to do the same?"
Cloud,Sure...
Cloud,I've been around.
Cloud,What's she to you?
Cloud,Loud and clear.
Tifa,Morning!
Cloud,Hey.
Tifa,"Just so you know, Marlene's still asleep."
Tifa,"Let's get down to business, shall we? These water filters won't replace themselves. Although, the next batch probably could, if Jessie put her mind to it. Most every home in the area has one. Folks love 'em 'cause they practically eliminate the rotten-egg smell. Honestly, they make us more money than this place. And it's easy money too. We bring new filters, collect the old ones, and get paid."
Tifa,What?
Cloud,Gimme a break. I'm not a salesman. I'm a SOLDIER.
Tifa,Which is why no one will refuse to pay. What do you say? Please?
Cloud,Let's get this over with.
Tifa,"Great. And while we're at it, I'll give you the grand tour."
Tifa,"Go ahead and keep whatever we collect. Seeing as you didn't bring any luggage, I'm guessing there's stuff you need to buy."
Cloud,Thanks.
Tifa,And don't worry. We'll pay you the difference after. Barret's out making his rounds too.
Cloud,As long as I get it all today.
Tifa,"Hey, there. Here to change out your water filter."
Tifa,Cloud's in charge of collections. He'll take your money.
